order_id,rule_id,rule_name,rule_description,created_at
ORD-003028,R007,Blacklisted IP,IP found in blacklist,2026-04-09 08:07:00
ORD-003029,R007,Blacklisted IP,IP found in blacklist,2026-04-09 08:14:00
ORD-003030,R007,Blacklisted IP,IP found in blacklist,2026-04-09 08:21:00
ORD-002614,R001,P2 iPhone 16 Rule,iPhone 16 order from P2 track with 180-minute delay,2026-04-09 15:00:00
ORD-002614,R005,User Spend Velocity,User spend exceeds ₹200000 within 24 hours,2026-04-09 15:00:00
ORD-004633,R006,Multiple Users Same Email,Same email used by multiple user IDs,2026-04-10 13:00:00
ORD-000966,R005,User Spend Velocity,User spend exceeds ₹200000 within 24 hours,2026-04-10 20:00:00
ORD-000031,R001,P2 iPhone 16 Rule,iPhone 16 order from P2 track with 180-minute delay,2026-04-13 01:00:00
ORD-004024,R006,Multiple Users Same Email,Same email used by multiple user IDs,2026-04-13 02:00:00
ORD-003818,R001,P2 iPhone 16 Rule,iPhone 16 order from P2 track with 180-minute delay,2026-04-14 13:00:00
ORD-003818,R005,User Spend Velocity,User spend exceeds ₹200000 within 24 hours,2026-04-14 13:00:00
ORD-003864,R005,User Spend Velocity,User spend exceeds ₹200000 within 24 hours,2026-04-15 08:00:00
ORD-004432,R006,Multiple Users Same Email,Same email used by multiple user IDs,2026-04-15 22:00:00
ORD-003784,R001,P2 iPhone 16 Rule,iPhone 16 order from P2 track with 180-minute delay,2026-04-22 12:00:00
ORD-003951,R006,Multiple Users Same Email,Same email used by multiple user IDs,2026-04-22 18:00:00
ORD-002042,R007,Blacklisted IP,IP found in blacklist,2026-04-23 02:00:00
ORD-002043,R007,Blacklisted IP,IP found in blacklist,2026-04-23 02:08:00
ORD-002044,R007,Blacklisted IP,IP found in blacklist,2026-04-23 02:16:00
ORD-002045,R007,Blacklisted IP,IP found in blacklist,2026-04-23 02:24:00
ORD-002046,R007,Blacklisted IP,IP found in blacklist,2026-04-23 02:32:00
ORD-002047,R007,Blacklisted IP,IP found in blacklist,2026-04-23 02:40:00
ORD-003792,R005,User Spend Velocity,User spend exceeds ₹200000 within 24 hours,2026-04-23 08:00:00
ORD-003792,R006,Multiple Users Same Email,Same email used by multiple user IDs,2026-04-23 08:00:00
ORD-004029,R006,Multiple Users Same Email,Same email used by multiple user IDs,2026-04-24 03:00:00
ORD-004865,R005,User Spend Velocity,User spend exceeds ₹200000 within 24 hours,2026-04-24 13:00:00
ORD-004865,R006,Multiple Users Same Email,Same email used by multiple user IDs,2026-04-24 13:00:00
ORD-002734,R005,User Spend Velocity,User spend exceeds ₹200000 within 24 hours,2026-04-25 16:00:00
ORD-004324,R006,Multiple Users Same Email,Same email used by multiple user IDs,2026-04-27 22:00:00
ORD-003604,R007,Blacklisted IP,IP found in blacklist,2026-04-30 17:00:00
ORD-003605,R007,Blacklisted IP,IP found in blacklist,2026-04-30 17:08:00
ORD-003606,R007,Blacklisted IP,IP found in blacklist,2026-04-30 17:16:00
ORD-003607,R001,P2 iPhone 16 Rule,iPhone 16 order from P2 track with 180-minute delay,2026-04-30 17:24:00
ORD-003607,R007,Blacklisted IP,IP found in blacklist,2026-04-30 17:24:00
ORD-003608,R007,Blacklisted IP,IP found in blacklist,2026-04-30 17:32:00
ORD-003609,R007,Blacklisted IP,IP found in blacklist,2026-04-30 17:40:00
ORD-003755,R005,User Spend Velocity,User spend exceeds ₹200000 within 24 hours,2026-05-06 11:00:00
ORD-001331,R006,Multiple Users Same Email,Same email used by multiple user IDs,2026-05-07 05:00:00
ORD-001659,R007,Blacklisted IP,IP found in blacklist,2026-05-07 05:00:00
ORD-001660,R007,Blacklisted IP,IP found in blacklist,2026-05-07 05:08:00
ORD-001332,R006,Multiple Users Same Email,Same email used by multiple user IDs,2026-05-07 05:15:00
ORD-001661,R007,Blacklisted IP,IP found in blacklist,2026-05-07 05:16:00
ORD-001662,R007,Blacklisted IP,IP found in blacklist,2026-05-07 05:24:00
ORD-001663,R007,Blacklisted IP,IP found in blacklist,2026-05-07 05:32:00
ORD-001664,R007,Blacklisted IP,IP found in blacklist,2026-05-07 05:40:00
ORD-005190,R001,P2 iPhone 16 Rule,iPhone 16 order from P2 track with 180-minute delay,2026-05-08 02:00:00
ORD-005190,R006,Multiple Users Same Email,Same email used by multiple user IDs,2026-05-08 02:00:00
ORD-004072,R006,Multiple Users Same Email,Same email used by multiple user IDs,2026-05-09 13:00:00
ORD-002895,R007,Blacklisted IP,IP found in blacklist,2026-05-09 16:00:00
ORD-002896,R007,Blacklisted IP,IP found in blacklist,2026-05-09 16:07:00
ORD-002897,R007,Blacklisted IP,IP found in blacklist,2026-05-09 16:14:00
ORD-002898,R007,Blacklisted IP,IP found in blacklist,2026-05-09 16:21:00
ORD-003852,R001,P2 iPhone 16 Rule,iPhone 16 order from P2 track with 180-minute delay,2026-05-10 11:00:00
ORD-004788,R006,Multiple Users Same Email,Same email used by multiple user IDs,2026-05-11 06:00:00
ORD-002925,R007,Blacklisted IP,IP found in blacklist,2026-05-12 02:00:00
ORD-002926,R007,Blacklisted IP,IP found in blacklist,2026-05-12 02:08:00
ORD-002927,R007,Blacklisted IP,IP found in blacklist,2026-05-12 02:16:00
ORD-002928,R007,Blacklisted IP,IP found in blacklist,2026-05-12 02:24:00
ORD-002929,R007,Blacklisted IP,IP found in blacklist,2026-05-12 02:32:00
ORD-002930,R007,Blacklisted IP,IP found in blacklist,2026-05-12 02:40:00
ORD-002219,R001,P2 iPhone 16 Rule,iPhone 16 order from P2 track with 180-minute delay,2026-05-13 11:08:00
ORD-000784,R007,Blacklisted IP,IP found in blacklist,2026-05-15 15:00:00
ORD-000785,R007,Blacklisted IP,IP found in blacklist,2026-05-15 15:08:00
ORD-000786,R007,Blacklisted IP,IP found in blacklist,2026-05-15 15:16:00
ORD-000787,R007,Blacklisted IP,IP found in blacklist,2026-05-15 15:24:00
ORD-000788,R007,Blacklisted IP,IP found in blacklist,2026-05-15 15:32:00
ORD-000789,R007,Blacklisted IP,IP found in blacklist,2026-05-15 15:40:00
ORD-002271,R006,Multiple Users Same Email,Same email used by multiple user IDs,2026-05-16 13:00:00
ORD-002271,R007,Blacklisted IP,IP found in blacklist,2026-05-16 13:00:00
ORD-002272,R006,Multiple Users Same Email,Same email used by multiple user IDs,2026-05-16 13:07:00
ORD-002272,R007,Blacklisted IP,IP found in blacklist,2026-05-16 13:07:00
ORD-002273,R006,Multiple Users Same Email,Same email used by multiple user IDs,2026-05-16 13:14:00
ORD-002273,R007,Blacklisted IP,IP found in blacklist,2026-05-16 13:14:00
ORD-002274,R006,Multiple Users Same Email,Same email used by multiple user IDs,2026-05-16 13:21:00
ORD-002274,R007,Blacklisted IP,IP found in blacklist,2026-05-16 13:21:00
ORD-000140,R006,Multiple Users Same Email,Same email used by multiple user IDs,2026-05-16 20:00:00
ORD-000141,R006,Multiple Users Same Email,Same email used by multiple user IDs,2026-05-16 20:15:00
ORD-003344,R001,P2 iPhone 16 Rule,iPhone 16 order from P2 track with 180-minute delay,2026-05-18 00:20:00
ORD-002673,R007,Blacklisted IP,IP found in blacklist,2026-05-18 22:00:00
ORD-002674,R001,P2 iPhone 16 Rule,iPhone 16 order from P2 track with 180-minute delay,2026-05-18 22:08:00
ORD-002674,R005,User Spend Velocity,User spend exceeds ₹200000 within 24 hours,2026-05-18 22:08:00
ORD-002674,R007,Blacklisted IP,IP found in blacklist,2026-05-18 22:08:00
ORD-002675,R007,Blacklisted IP,IP found in blacklist,2026-05-18 22:16:00
ORD-002676,R007,Blacklisted IP,IP found in blacklist,2026-05-18 22:24:00
ORD-002677,R007,Blacklisted IP,IP found in blacklist,2026-05-18 22:32:00
ORD-002678,R007,Blacklisted IP,IP found in blacklist,2026-05-18 22:40:00
ORD-003459,R006,Multiple Users Same Email,Same email used by multiple user IDs,2026-05-19 02:00:00
ORD-003460,R006,Multiple Users Same Email,Same email used by multiple user IDs,2026-05-19 03:00:00
ORD-002713,R006,Multiple Users Same Email,Same email used by multiple user IDs,2026-05-19 03:00:00
ORD-002714,R006,Multiple Users Same Email,Same email used by multiple user IDs,2026-05-19 03:10:00
ORD-002715,R006,Multiple Users Same Email,Same email used by multiple user IDs,2026-05-19 03:20:00
ORD-002716,R006,Multiple Users Same Email,Same email used by multiple user IDs,2026-05-19 03:30:00
ORD-002717,R006,Multiple Users Same Email,Same email used by multiple user IDs,2026-05-19 03:40:00
ORD-003461,R006,Multiple Users Same Email,Same email used by multiple user IDs,2026-05-19 04:00:00
ORD-003462,R006,Multiple Users Same Email,Same email used by multiple user IDs,2026-05-19 05:00:00
ORD-003463,R006,Multiple Users Same Email,Same email used by multiple user IDs,2026-05-19 06:00:00
ORD-003464,R006,Multiple Users Same Email,Same email used by multiple user IDs,2026-05-19 07:00:00
ORD-003368,R006,Multiple Users Same Email,Same email used by multiple user IDs,2026-05-19 17:00:00
ORD-003369,R006,Multiple Users Same Email,Same email used by multiple user IDs,2026-05-19 17:10:00
ORD-003370,R006,Multiple Users Same Email,Same email used by multiple user IDs,2026-05-19 17:20:00
ORD-003371,R006,Multiple Users Same Email,Same email used by multiple user IDs,2026-05-19 17:30:00
ORD-003372,R006,Multiple Users Same Email,Same email used by multiple user IDs,2026-05-19 17:40:00
ORD-000180,R007,Blacklisted IP,IP found in blacklist,2026-05-21 13:00:00
ORD-000181,R007,Blacklisted IP,IP found in blacklist,2026-05-21 13:08:00
ORD-000182,R007,Blacklisted IP,IP found in blacklist,2026-05-21 13:16:00
ORD-000183,R007,Blacklisted IP,IP found in blacklist,2026-05-21 13:24:00
ORD-000184,R007,Blacklisted IP,IP found in blacklist,2026-05-21 13:32:00
ORD-000185,R007,Blacklisted IP,IP found in blacklist,2026-05-21 13:40:00
ORD-004197,R006,Multiple Users Same Email,Same email used by multiple user IDs,2026-05-22 08:00:00
ORD-004426,R005,User Spend Velocity,User spend exceeds ₹200000 within 24 hours,2026-05-22 23:00:00
ORD-003003,R005,User Spend Velocity,User spend exceeds ₹200000 within 24 hours,2026-05-26 00:00:00
ORD-001538,R007,Blacklisted IP,IP found in blacklist,2026-05-27 02:00:00
ORD-001539,R007,Blacklisted IP,IP found in blacklist,2026-05-27 02:08:00
ORD-001540,R007,Blacklisted IP,IP found in blacklist,2026-05-27 02:16:00
ORD-001541,R007,Blacklisted IP,IP found in blacklist,2026-05-27 02:24:00
ORD-001542,R007,Blacklisted IP,IP found in blacklist,2026-05-27 02:32:00
ORD-001543,R007,Blacklisted IP,IP found in blacklist,2026-05-27 02:40:00
ORD-005291,R006,Multiple Users Same Email,Same email used by multiple user IDs,2026-05-27 14:00:00
ORD-004831,R006,Multiple Users Same Email,Same email used by multiple user IDs,2026-05-28 09:00:00
ORD-003949,R001,P2 iPhone 16 Rule,iPhone 16 order from P2 track with 180-minute delay,2026-05-29 14:00:00
ORD-003949,R005,User Spend Velocity,User spend exceeds ₹200000 within 24 hours,2026-05-29 14:00:00
ORD-001108,R001,P2 iPhone 16 Rule,iPhone 16 order from P2 track with 180-minute delay,2026-05-29 16:00:00
ORD-001108,R007,Blacklisted IP,IP found in blacklist,2026-05-29 16:00:00
ORD-001109,R007,Blacklisted IP,IP found in blacklist,2026-05-29 16:07:00
ORD-001110,R007,Blacklisted IP,IP found in blacklist,2026-05-29 16:14:00
ORD-001111,R007,Blacklisted IP,IP found in blacklist,2026-05-29 16:21:00
ORD-003969,R006,Multiple Users Same Email,Same email used by multiple user IDs,2026-05-29 17:00:00
ORD-000635,R007,Blacklisted IP,IP found in blacklist,2026-05-29 19:00:00
ORD-000636,R007,Blacklisted IP,IP found in blacklist,2026-05-29 19:08:00
ORD-000637,R007,Blacklisted IP,IP found in blacklist,2026-05-29 19:16:00
ORD-000638,R007,Blacklisted IP,IP found in blacklist,2026-05-29 19:24:00
ORD-000639,R007,Blacklisted IP,IP found in blacklist,2026-05-29 19:32:00
ORD-000640,R007,Blacklisted IP,IP found in blacklist,2026-05-29 19:40:00
ORD-003630,R007,Blacklisted IP,IP found in blacklist,2026-05-30 05:00:00
ORD-003631,R007,Blacklisted IP,IP found in blacklist,2026-05-30 05:08:00
ORD-003632,R007,Blacklisted IP,IP found in blacklist,2026-05-30 05:16:00
ORD-003633,R007,Blacklisted IP,IP found in blacklist,2026-05-30 05:24:00
ORD-003634,R007,Blacklisted IP,IP found in blacklist,2026-05-30 05:32:00
ORD-003635,R007,Blacklisted IP,IP found in blacklist,2026-05-30 05:40:00
ORD-003642,R001,P2 iPhone 16 Rule,iPhone 16 order from P2 track with 180-minute delay,2026-05-30 08:00:00
ORD-000629,R005,User Spend Velocity,User spend exceeds ₹200000 within 24 hours,2026-05-31 07:00:00
ORD-001294,R006,Multiple Users Same Email,Same email used by multiple user IDs,2026-05-31 19:00:00
ORD-001295,R006,Multiple Users Same Email,Same email used by multiple user IDs,2026-05-31 22:00:00
ORD-001296,R006,Multiple Users Same Email,Same email used by multiple user IDs,2026-06-01 01:00:00
ORD-001297,R006,Multiple Users Same Email,Same email used by multiple user IDs,2026-06-01 04:00:00
ORD-003135,R007,Blacklisted IP,IP found in blacklist,2026-06-04 00:00:00
ORD-003136,R007,Blacklisted IP,IP found in blacklist,2026-06-04 00:07:00
ORD-003137,R007,Blacklisted IP,IP found in blacklist,2026-06-04 00:14:00
ORD-003138,R007,Blacklisted IP,IP found in blacklist,2026-06-04 00:21:00
ORD-001718,R006,Multiple Users Same Email,Same email used by multiple user IDs,2026-06-05 14:00:00
ORD-001719,R006,Multiple Users Same Email,Same email used by multiple user IDs,2026-06-05 15:00:00
ORD-001720,R006,Multiple Users Same Email,Same email used by multiple user IDs,2026-06-05 16:00:00
ORD-001721,R006,Multiple Users Same Email,Same email used by multiple user IDs,2026-06-05 17:00:00
ORD-001722,R006,Multiple Users Same Email,Same email used by multiple user IDs,2026-06-05 18:00:00
ORD-001723,R006,Multiple Users Same Email,Same email used by multiple user IDs,2026-06-05 19:00:00
ORD-000399,R007,Blacklisted IP,IP found in blacklist,2026-06-07 08:00:00
ORD-000400,R007,Blacklisted IP,IP found in blacklist,2026-06-07 08:08:00
ORD-000401,R007,Blacklisted IP,IP found in blacklist,2026-06-07 08:16:00
ORD-000402,R007,Blacklisted IP,IP found in blacklist,2026-06-07 08:24:00
ORD-000403,R007,Blacklisted IP,IP found in blacklist,2026-06-07 08:32:00
ORD-000404,R007,Blacklisted IP,IP found in blacklist,2026-06-07 08:40:00
ORD-003952,R006,Multiple Users Same Email,Same email used by multiple user IDs,2026-06-07 10:00:00
ORD-004199,R001,P2 iPhone 16 Rule,iPhone 16 order from P2 track with 180-minute delay,2026-06-08 10:00:00
ORD-003943,R005,User Spend Velocity,User spend exceeds ₹200000 within 24 hours,2026-06-10 02:00:00
ORD-000899,R001,P2 iPhone 16 Rule,iPhone 16 order from P2 track with 180-minute delay,2026-06-10 11:00:00
ORD-000900,R001,P2 iPhone 16 Rule,iPhone 16 order from P2 track with 180-minute delay,2026-06-10 14:00:00
ORD-000901,R001,P2 iPhone 16 Rule,iPhone 16 order from P2 track with 180-minute delay,2026-06-10 17:00:00
ORD-004017,R006,Multiple Users Same Email,Same email used by multiple user IDs,2026-06-11 03:00:00
ORD-002110,R006,Multiple Users Same Email,Same email used by multiple user IDs,2026-06-11 08:00:00
ORD-002111,R006,Multiple Users Same Email,Same email used by multiple user IDs,2026-06-11 11:00:00
ORD-002112,R006,Multiple Users Same Email,Same email used by multiple user IDs,2026-06-11 14:00:00
ORD-002113,R005,User Spend Velocity,User spend exceeds ₹200000 within 24 hours,2026-06-11 17:00:00
ORD-002113,R006,Multiple Users Same Email,Same email used by multiple user IDs,2026-06-11 17:00:00
ORD-001806,R006,Multiple Users Same Email,Same email used by multiple user IDs,2026-06-11 22:00:00
ORD-001806,R007,Blacklisted IP,IP found in blacklist,2026-06-11 22:00:00
ORD-001807,R006,Multiple Users Same Email,Same email used by multiple user IDs,2026-06-11 22:07:00
ORD-001807,R007,Blacklisted IP,IP found in blacklist,2026-06-11 22:07:00
ORD-001808,R006,Multiple Users Same Email,Same email used by multiple user IDs,2026-06-11 22:14:00
ORD-001808,R007,Blacklisted IP,IP found in blacklist,2026-06-11 22:14:00
ORD-001809,R006,Multiple Users Same Email,Same email used by multiple user IDs,2026-06-11 22:21:00
ORD-001809,R007,Blacklisted IP,IP found in blacklist,2026-06-11 22:21:00
ORD-003893,R005,User Spend Velocity,User spend exceeds ₹200000 within 24 hours,2026-06-12 19:00:00
ORD-004979,R006,Multiple Users Same Email,Same email used by multiple user IDs,2026-06-14 01:00:00
ORD-004541,R006,Multiple Users Same Email,Same email used by multiple user IDs,2026-06-14 23:00:00
ORD-001706,R007,Blacklisted IP,IP found in blacklist,2026-06-15 00:00:00
ORD-001707,R007,Blacklisted IP,IP found in blacklist,2026-06-15 00:07:00
ORD-001708,R007,Blacklisted IP,IP found in blacklist,2026-06-15 00:14:00
ORD-001709,R007,Blacklisted IP,IP found in blacklist,2026-06-15 00:21:00
ORD-002369,R007,Blacklisted IP,IP found in blacklist,2026-06-17 01:00:00
ORD-002370,R001,P2 iPhone 16 Rule,iPhone 16 order from P2 track with 180-minute delay,2026-06-17 01:08:00
ORD-002370,R007,Blacklisted IP,IP found in blacklist,2026-06-17 01:08:00
ORD-002371,R007,Blacklisted IP,IP found in blacklist,2026-06-17 01:16:00
ORD-002372,R001,P2 iPhone 16 Rule,iPhone 16 order from P2 track with 180-minute delay,2026-06-17 01:24:00
ORD-002372,R007,Blacklisted IP,IP found in blacklist,2026-06-17 01:24:00
ORD-002373,R007,Blacklisted IP,IP found in blacklist,2026-06-17 01:32:00
ORD-002374,R007,Blacklisted IP,IP found in blacklist,2026-06-17 01:40:00
ORD-004300,R005,User Spend Velocity,User spend exceeds ₹200000 within 24 hours,2026-06-17 23:00:00
ORD-004300,R006,Multiple Users Same Email,Same email used by multiple user IDs,2026-06-17 23:00:00
ORD-001138,R007,Blacklisted IP,IP found in blacklist,2026-06-19 09:00:00
ORD-001139,R007,Blacklisted IP,IP found in blacklist,2026-06-19 09:07:00
ORD-001140,R007,Blacklisted IP,IP found in blacklist,2026-06-19 09:14:00
ORD-001141,R007,Blacklisted IP,IP found in blacklist,2026-06-19 09:21:00
ORD-001966,R005,User Spend Velocity,User spend exceeds ₹200000 within 24 hours,2026-06-22 04:00:00
ORD-001052,R007,Blacklisted IP,IP found in blacklist,2026-06-22 15:00:00
ORD-001053,R007,Blacklisted IP,IP found in blacklist,2026-06-22 15:07:00
ORD-001054,R007,Blacklisted IP,IP found in blacklist,2026-06-22 15:14:00
ORD-001055,R001,P2 iPhone 16 Rule,iPhone 16 order from P2 track with 180-minute delay,2026-06-22 15:21:00
ORD-001055,R007,Blacklisted IP,IP found in blacklist,2026-06-22 15:21:00
ORD-004841,R006,Multiple Users Same Email,Same email used by multiple user IDs,2026-06-24 19:00:00
ORD-002809,R007,Blacklisted IP,IP found in blacklist,2026-06-24 23:00:00
ORD-002810,R007,Blacklisted IP,IP found in blacklist,2026-06-24 23:07:00
ORD-002811,R007,Blacklisted IP,IP found in blacklist,2026-06-24 23:14:00
ORD-002812,R007,Blacklisted IP,IP found in blacklist,2026-06-24 23:21:00
ORD-001247,R005,User Spend Velocity,User spend exceeds ₹200000 within 24 hours,2026-06-28 06:00:00
ORD-003931,R005,User Spend Velocity,User spend exceeds ₹200000 within 24 hours,2026-06-28 08:00:00
ORD-004465,R006,Multiple Users Same Email,Same email used by multiple user IDs,2026-06-28 12:00:00
ORD-002207,R001,P2 iPhone 16 Rule,iPhone 16 order from P2 track with 180-minute delay,2026-06-30 13:00:00
ORD-002207,R005,User Spend Velocity,User spend exceeds ₹200000 within 24 hours,2026-06-30 13:00:00
ORD-002209,R001,P2 iPhone 16 Rule,iPhone 16 order from P2 track with 180-minute delay,2026-06-30 15:00:00
ORD-004625,R005,User Spend Velocity,User spend exceeds ₹200000 within 24 hours,2026-07-01 04:00:00
ORD-002828,R005,User Spend Velocity,User spend exceeds ₹200000 within 24 hours,2026-07-01 13:00:00
ORD-002829,R005,User Spend Velocity,User spend exceeds ₹200000 within 24 hours,2026-07-01 16:00:00
ORD-001724,R007,Blacklisted IP,IP found in blacklist,2026-07-01 23:00:00
ORD-001725,R007,Blacklisted IP,IP found in blacklist,2026-07-01 23:08:00
ORD-001726,R007,Blacklisted IP,IP found in blacklist,2026-07-01 23:16:00
ORD-001727,R007,Blacklisted IP,IP found in blacklist,2026-07-01 23:24:00
ORD-001728,R007,Blacklisted IP,IP found in blacklist,2026-07-01 23:32:00
ORD-001729,R007,Blacklisted IP,IP found in blacklist,2026-07-01 23:40:00
ORD-004035,R001,P2 iPhone 16 Rule,iPhone 16 order from P2 track with 180-minute delay,2026-07-03 15:00:00
ORD-001474,R007,Blacklisted IP,IP found in blacklist,2026-07-03 17:00:00
ORD-001475,R007,Blacklisted IP,IP found in blacklist,2026-07-03 17:08:00
ORD-001476,R007,Blacklisted IP,IP found in blacklist,2026-07-03 17:16:00
ORD-001477,R007,Blacklisted IP,IP found in blacklist,2026-07-03 17:24:00
ORD-001478,R007,Blacklisted IP,IP found in blacklist,2026-07-03 17:32:00
ORD-001479,R007,Blacklisted IP,IP found in blacklist,2026-07-03 17:40:00
ORD-000454,R001,P2 iPhone 16 Rule,iPhone 16 order from P2 track with 180-minute delay,2026-07-05 15:00:00
ORD-000454,R007,Blacklisted IP,IP found in blacklist,2026-07-05 15:00:00
ORD-000455,R001,P2 iPhone 16 Rule,iPhone 16 order from P2 track with 180-minute delay,2026-07-05 15:08:00
ORD-000455,R007,Blacklisted IP,IP found in blacklist,2026-07-05 15:08:00
ORD-000456,R007,Blacklisted IP,IP found in blacklist,2026-07-05 15:16:00
ORD-000457,R007,Blacklisted IP,IP found in blacklist,2026-07-05 15:24:00
ORD-000458,R007,Blacklisted IP,IP found in blacklist,2026-07-05 15:32:00
ORD-000459,R007,Blacklisted IP,IP found in blacklist,2026-07-05 15:40:00
ORD-002955,R006,Multiple Users Same Email,Same email used by multiple user IDs,2026-07-05 23:00:00
ORD-002956,R006,Multiple Users Same Email,Same email used by multiple user IDs,2026-07-05 23:08:00
ORD-004163,R005,User Spend Velocity,User spend exceeds ₹200000 within 24 hours,2026-07-07 03:00:00
ORD-003495,R007,Blacklisted IP,IP found in blacklist,2026-07-07 16:00:00
ORD-003496,R001,P2 iPhone 16 Rule,iPhone 16 order from P2 track with 180-minute delay,2026-07-07 16:07:00
ORD-003496,R007,Blacklisted IP,IP found in blacklist,2026-07-07 16:07:00
ORD-003497,R007,Blacklisted IP,IP found in blacklist,2026-07-07 16:14:00
ORD-003498,R007,Blacklisted IP,IP found in blacklist,2026-07-07 16:21:00
ORD-005337,R001,P2 iPhone 16 Rule,iPhone 16 order from P2 track with 180-minute delay,2026-07-08 20:00:00
ORD-004710,R006,Multiple Users Same Email,Same email used by multiple user IDs,2026-07-10 08:00:00
