product_id,product_name,category,price,created_at
PROD-9974,Bookshelf,Furniture,8999.0,2026-03-14 20:40:06
PROD-9987,Daikin AC 1.5 Ton Limited Edition,Appliances,57943.83,2026-03-15 05:40:19
PROD-9982,Dyson Vacuum Cleaner Max,Appliances,50521.75,2026-03-15 17:06:00
PROD-9941,Netflix Gift Card,Vouchers,1499.0,2026-03-16 22:18:01
PROD-9942,IFB Dryer,Appliances,31999.0,2026-03-17 16:12:39
PROD-9947,Canon EOS R8,Electronics,149999.0,2026-03-20 11:53:33
PROD-9997,Canon EOS R10 2026 Edition,Electronics,120615.56,2026-03-21 13:28:19
PROD-9945,Amazon Gift Card ₹1000,Vouchers,1000.0,2026-03-22 02:56:19
PROD-9995,Daikin AC 1.5 Ton Pro,Appliances,57846.16,2026-03-23 01:55:16
PROD-9991,HD Webcam Business Edition,Peripherals,5843.11,2026-03-24 01:13:54
PROD-9940,Prestige Induction Cooktop,Appliances,3999.0,2026-03-24 03:59:14
PROD-9955,Steam Wallet ₹1000,Vouchers,1000.0,2026-03-27 10:05:04
PROD-9996,Steam Wallet ₹1000 Plus,Vouchers,970.27,2026-03-27 13:54:38
PROD-9962,DJI Mini 4 Pro,Electronics,89999.0,2026-03-28 05:27:40
PROD-9913,Premium Wireless Soundbar System,Appliances,55000.0,2026-03-28 22:55:44
PROD-9977,ASUS ROG Zephyrus,Electronics,179999.0,2026-03-29 12:04:44
PROD-9953,Google Pixel Fold,Electronics,159999.0,2026-03-30 23:45:40
PROD-9963,Office Chair,Furniture,17999.0,2026-03-31 03:03:01
PROD-9993,Garmin Fenix 8 Max,Electronics,102696.71,2026-03-31 21:25:37
PROD-9933,Dyson Vacuum Cleaner,Appliances,44999.0,2026-04-01 04:19:03
